S No,Norms,State,Year,Month,Value
2,BHARAT (TREM) STAGE III A,Ladakh(3),2026,FEB,0
3,CEV STAGE V,Ladakh(3),2026,FEB,0
4,NOT AVAILABLE,Ladakh(3),2026,FEB,0
1,BHARAT STAGE VI,Lakshadweep(9),2026,JAN,91
2,CEV STAGE V,Lakshadweep(9),2026,JAN,1
3,NOT AVAILABLE,Lakshadweep(9),2026,JAN,2
1,BHARAT STAGE VI,Lakshadweep(9),2026,FEB,98
2,CEV STAGE V,Lakshadweep(9),2026,FEB,0
3,NOT AVAILABLE,Lakshadweep(9),2026,FEB,9
1,BHARAT STAGE III,Maharashtra(59),2026,JAN,1
2,BHARAT STAGE III (CEV),Maharashtra(59),2026,JAN,1
3,BHARAT STAGE IV,Maharashtra(59),2026,JAN,7
4,BHARAT STAGE VI,Maharashtra(59),2026,JAN,"3,00,042"
5,BHARAT (TREM) STAGE III,Maharashtra(59),2026,JAN,2
6,BHARAT (TREM) STAGE III A,Maharashtra(59),2026,JAN,"13,342"
7,CEV STAGE IV,Maharashtra(59),2026,JAN,2
8,CEV STAGE V,Maharashtra(59),2026,JAN,884
9,EURO 6,Maharashtra(59),2026,JAN,2
10,NOT AVAILABLE,Maharashtra(59),2026,JAN,"27,461"
11,TREM STAGE IV,Maharashtra(59),2026,JAN,673
12,TREM STAGE V,Maharashtra(59),2026,JAN,36
1,BHARAT STAGE III,Maharashtra(59),2026,FEB,1
2,BHARAT STAGE III (CEV),Maharashtra(59),2026,FEB,1
3,BHARAT STAGE IV,Maharashtra(59),2026,FEB,0
4,BHARAT STAGE VI,Maharashtra(59),2026,FEB,"1,74,871"
5,BHARAT (TREM) STAGE III,Maharashtra(59),2026,FEB,0
6,BHARAT (TREM) STAGE III A,Maharashtra(59),2026,FEB,"5,160"
7,CEV STAGE IV,Maharashtra(59),2026,FEB,0
8,CEV STAGE V,Maharashtra(59),2026,FEB,590
9,EURO 6,Maharashtra(59),2026,FEB,0
10,NOT AVAILABLE,Maharashtra(59),2026,FEB,"15,934"
11,TREM STAGE IV,Maharashtra(59),2026,FEB,280
12,TREM STAGE V,Maharashtra(59),2026,FEB,10
1,BHARAT STAGE III,Meghalaya(15),2026,JAN,13
2,BHARAT STAGE III/IV,Meghalaya(15),2026,JAN,1
3,BHARAT STAGE VI,Meghalaya(15),2026,JAN,"3,682"
4,BHARAT (TREM) STAGE III,Meghalaya(15),2026,JAN,0
5,BHARAT (TREM) STAGE III A,Meghalaya(15),2026,JAN,3
6,CEV STAGE V,Meghalaya(15),2026,JAN,41
7,NOT AVAILABLE,Meghalaya(15),2026,JAN,71
1,BHARAT STAGE III,Meghalaya(15),2026,FEB,27
