S No,Norms,State,Year,Vehicle Category,Value
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,MMV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,MMV,2
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,MMV,674
13,EURO 1,All Vahan4 Running States (35/36),2026,MMV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,MMV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,MMV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,MMV,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,MMV,423
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,MMV,5
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,MMV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,MPV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,MPV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,MPV,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,MPV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,MPV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,MPV,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,MPV,"3,507"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,MPV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,MPV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,MPV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,MPV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,MPV,0
13,EURO 1,All Vahan4 Running States (35/36),2026,MPV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,MPV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,MPV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,MPV,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,MPV,10
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,MPV,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,MPV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,OTH,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,OTH,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,OTH,25
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,OTH,12
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,OTH,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,OTH,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,OTH,238
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,OTH,8
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,OTH,31
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,OTH,13
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,OTH,34
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,OTH,"10,866"
13,EURO 1,All Vahan4 Running States (35/36),2026,OTH,0
14,EURO 2,All Vahan4 Running States (35/36),2026,OTH,0
15,EURO 3,All Vahan4 Running States (35/36),2026,OTH,0
16,EURO 6,All Vahan4 Running States (35/36),2026,OTH,6
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,OTH,0
