S No,Vehicle Class,State,Year,Month Wise,Value
10,HEARSES,Andaman & Nicobar Island(3),2025,JUL,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,JUL,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,JUL,1
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,JUL,600
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,JUL,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,JUL,0
16,MOPED,Andaman & Nicobar Island(3),2025,JUL,7
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,JUL,40
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,JUL,169
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,JUL,20
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,JUL,0
21,OMNI BUS,Andaman & Nicobar Island(3),2025,JUL,5
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,JUL,1
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,JUL,1
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,JUL,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,JUL,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,AUG,2
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,AUG,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,AUG,0
4,BUS,Andaman & Nicobar Island(3),2025,AUG,1
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,AUG,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,AUG,1
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,AUG,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,AUG,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,AUG,24
10,HEARSES,Andaman & Nicobar Island(3),2025,AUG,3
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,AUG,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,AUG,5
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,AUG,529
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,AUG,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,AUG,0
16,MOPED,Andaman & Nicobar Island(3),2025,AUG,3
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,AUG,48
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,AUG,155
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,AUG,15
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,AUG,0
21,OMNI BUS,Andaman & Nicobar Island(3),2025,AUG,3
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,AUG,2
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,AUG,6
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,AUG,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,AUG,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,SEP,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,SEP,1
3,AMBULANCE,Andaman & Nicobar Island(3),2025,SEP,1
4,BUS,Andaman & Nicobar Island(3),2025,SEP,3
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,SEP,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,SEP,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,SEP,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,SEP,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,SEP,35
10,HEARSES,Andaman & Nicobar Island(3),2025,SEP,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,SEP,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,SEP,2
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,SEP,463
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,SEP,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,SEP,0
16,MOPED,Andaman & Nicobar Island(3),2025,SEP,5
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,SEP,54
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,SEP,138
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,SEP,15
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,SEP,0
21,OMNI BUS,Andaman & Nicobar Island(3),2025,SEP,6
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,SEP,4
