S No,Fuel,State,Year,Month,Value
11,PETROL/ETHANOL,Chhattisgarh(31),2026,JAN,"39,006"
12,PETROL/HYBRID,Chhattisgarh(31),2026,JAN,190
13,PURE EV,Chhattisgarh(31),2026,JAN,"3,699"
14,STRONG HYBRID EV,Chhattisgarh(31),2026,JAN,210
1,CNG ONLY,Chhattisgarh(31),2026,FEB,29
2,DIESEL,Chhattisgarh(31),2026,FEB,"7,225"
3,DIESEL/HYBRID,Chhattisgarh(31),2026,FEB,25
4,ELECTRIC(BOV),Chhattisgarh(31),2026,FEB,345
5,ETHANOL,Chhattisgarh(31),2026,FEB,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,FEB,660
7,PETROL,Chhattisgarh(31),2026,FEB,"12,470"
8,PETROL/CNG,Chhattisgarh(31),2026,FEB,19
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,FEB,68
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,FEB,"1,285"
11,PETROL/ETHANOL,Chhattisgarh(31),2026,FEB,"26,167"
12,PETROL/HYBRID,Chhattisgarh(31),2026,FEB,116
13,PURE EV,Chhattisgarh(31),2026,FEB,"2,489"
14,STRONG HYBRID EV,Chhattisgarh(31),2026,FEB,188
1,CNG ONLY,Chandigarh(1),2026,JAN,12
2,DIESEL,Chandigarh(1),2026,JAN,545
3,DIESEL/HYBRID,Chandigarh(1),2026,JAN,29
4,ELECTRIC(BOV),Chandigarh(1),2026,JAN,97
5,ETHANOL,Chandigarh(1),2026,JAN,1
6,PETROL,Chandigarh(1),2026,JAN,869
7,PETROL/CNG,Chandigarh(1),2026,JAN,23
8,PETROL(E20)/CNG,Chandigarh(1),2026,JAN,59
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,JAN,133
10,PETROL/ETHANOL,Chandigarh(1),2026,JAN,"2,358"
11,PETROL/HYBRID,Chandigarh(1),2026,JAN,67
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,JAN,0
13,PURE EV,Chandigarh(1),2026,JAN,426
14,STRONG HYBRID EV,Chandigarh(1),2026,JAN,160
1,CNG ONLY,Chandigarh(1),2026,FEB,9
2,DIESEL,Chandigarh(1),2026,FEB,324
3,DIESEL/HYBRID,Chandigarh(1),2026,FEB,13
4,ELECTRIC(BOV),Chandigarh(1),2026,FEB,65
5,ETHANOL,Chandigarh(1),2026,FEB,0
6,PETROL,Chandigarh(1),2026,FEB,487
7,PETROL/CNG,Chandigarh(1),2026,FEB,15
