S No,Vehicle Category,State,Year,Vehicle Class,Value
16,TWO WHEELER(T),Goa(13),2025,Trailer For Personal Use,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Quadricycle (Private),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Quadricycle (Private),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Quadricycle (Private),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Quadricycle (Private),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Quadricycle (Private),0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Quadricycle (Private),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Quadricycle (Private),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Quadricycle (Private),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Quadricycle (Private),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Quadricycle (Private),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Quadricycle (Private),0
12,THREE WHEELER(NT),Goa(13),2025,Quadricycle (Private),0
13,THREE WHEELER(T),Goa(13),2025,Quadricycle (Private),0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Quadricycle (Private),0
15,TWO WHEELER(NT),Goa(13),2025,Quadricycle (Private),0
16,TWO WHEELER(T),Goa(13),2025,Quadricycle (Private),0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Armoured/Specialised Vehicle,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Armoured/Specialised Vehicle,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Armoured/Specialised Vehicle,0
12,THREE WHEELER(NT),Goa(13),2025,Armoured/Specialised Vehicle,0
13,THREE WHEELER(T),Goa(13),2025,Armoured/Specialised Vehicle,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Armoured/Specialised Vehicle,0
15,TWO WHEELER(NT),Goa(13),2025,Armoured/Specialised Vehicle,0
16,TWO WHEELER(T),Goa(13),2025,Armoured/Specialised Vehicle,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Caravan,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Motor Caravan,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Motor Caravan,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Motor Caravan,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Motor Caravan,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Motor Caravan,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Motor Caravan,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Motor Caravan,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Motor Caravan,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Motor Caravan,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Motor Caravan,0
12,THREE WHEELER(NT),Goa(13),2025,Motor Caravan,0
13,THREE WHEELER(T),Goa(13),2025,Motor Caravan,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Caravan,0
15,TWO WHEELER(NT),Goa(13),2025,Motor Caravan,0
16,TWO WHEELER(T),Goa(13),2025,Motor Caravan,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
12,THREE WHEELER(NT),Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
13,THREE WHEELER(T),Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
15,TWO WHEELER(NT),Goa(13),2025,Motor Cycle/Scooter-SideCar(T),0
16,TWO WHEELER(T),Goa(13),2025,Motor Cycle/Scooter-SideCar(T),62
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
12,THREE WHEELER(NT),Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
13,THREE WHEELER(T),Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
15,TWO WHEELER(NT),Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
16,TWO WHEELER(T),Goa(13),2025,Motor Cycle/Scooter-With Trailer,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
12,THREE WHEELER(NT),Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
13,THREE WHEELER(T),Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
15,TWO WHEELER(NT),Goa(13),2025,Motor Cycle/Scooter-Used For Hire,0
16,TWO WHEELER(T),Goa(13),2025,Motor Cycle/Scooter-Used For Hire,"1,922"
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,e-Rickshaw with Cart (G),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,e-Rickshaw with Cart (G),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,e-Rickshaw with Cart (G),0
12,THREE WHEELER(NT),Goa(13),2025,e-Rickshaw with Cart (G),0
13,THREE WHEELER(T),Goa(13),2025,e-Rickshaw with Cart (G),7
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,e-Rickshaw with Cart (G),0
15,TWO WHEELER(NT),Goa(13),2025,e-Rickshaw with Cart (G),0
16,TWO WHEELER(T),Goa(13),2025,e-Rickshaw with Cart (G),0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,e-Rickshaw(P),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,e-Rickshaw(P),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,e-Rickshaw(P),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,e-Rickshaw(P),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,e-Rickshaw(P),0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,e-Rickshaw(P),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,e-Rickshaw(P),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,e-Rickshaw(P),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,e-Rickshaw(P),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,e-Rickshaw(P),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,e-Rickshaw(P),0
12,THREE WHEELER(NT),Goa(13),2025,e-Rickshaw(P),0
13,THREE WHEELER(T),Goa(13),2025,e-Rickshaw(P),1
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,e-Rickshaw(P),0
15,TWO WHEELER(NT),Goa(13),2025,e-Rickshaw(P),0
16,TWO WHEELER(T),Goa(13),2025,e-Rickshaw(P),0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Luxury Cab,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Luxury Cab,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Luxury Cab,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Luxury Cab,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Luxury Cab,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Luxury Cab,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Luxury Cab,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Luxury Cab,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Luxury Cab,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Luxury Cab,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Luxury Cab,0
12,THREE WHEELER(NT),Goa(13),2025,Luxury Cab,0
13,THREE WHEELER(T),Goa(13),2025,Luxury Cab,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Luxury Cab,0
15,TWO WHEELER(NT),Goa(13),2025,Luxury Cab,0
16,TWO WHEELER(T),Goa(13),2025,Luxury Cab,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Three Wheeler (Passenger),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Three Wheeler (Passenger),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Three Wheeler (Passenger),0
12,THREE WHEELER(NT),Goa(13),2025,Three Wheeler (Passenger),0
13,THREE WHEELER(T),Goa(13),2025,Three Wheeler (Passenger),111
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Three Wheeler (Passenger),0
15,TWO WHEELER(NT),Goa(13),2025,Three Wheeler (Passenger),0
16,TWO WHEELER(T),Goa(13),2025,Three Wheeler (Passenger),0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Three Wheeler (Goods),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Three Wheeler (Goods),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Three Wheeler (Goods),0
12,THREE WHEELER(NT),Goa(13),2025,Three Wheeler (Goods),0
13,THREE WHEELER(T),Goa(13),2025,Three Wheeler (Goods),31
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Three Wheeler (Goods),0
15,TWO WHEELER(NT),Goa(13),2025,Three Wheeler (Goods),0
16,TWO WHEELER(T),Goa(13),2025,Three Wheeler (Goods),0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Goods Carrier,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Goods Carrier,472
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Goods Carrier,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Goods Carrier,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Goods Carrier,"2,201"
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Goods Carrier,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Goods Carrier,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Goods Carrier,252
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Goods Carrier,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Goods Carrier,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Goods Carrier,0
12,THREE WHEELER(NT),Goa(13),2025,Goods Carrier,0
13,THREE WHEELER(T),Goa(13),2025,Goods Carrier,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Goods Carrier,0
15,TWO WHEELER(NT),Goa(13),2025,Goods Carrier,0
16,TWO WHEELER(T),Goa(13),2025,Goods Carrier,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Power Tiller (Commercial),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Power Tiller (Commercial),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Power Tiller (Commercial),0
12,THREE WHEELER(NT),Goa(13),2025,Power Tiller (Commercial),0
13,THREE WHEELER(T),Goa(13),2025,Power Tiller (Commercial),0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Power Tiller (Commercial),0
15,TWO WHEELER(NT),Goa(13),2025,Power Tiller (Commercial),0
16,TWO WHEELER(T),Goa(13),2025,Power Tiller (Commercial),0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Tractor (Commercial),0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Tractor (Commercial),0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Tractor (Commercial),0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Tractor (Commercial),0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Tractor (Commercial),1
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Tractor (Commercial),0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Tractor (Commercial),0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Tractor (Commercial),0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Tractor (Commercial),0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Tractor (Commercial),0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Tractor (Commercial),0
12,THREE WHEELER(NT),Goa(13),2025,Tractor (Commercial),0
13,THREE WHEELER(T),Goa(13),2025,Tractor (Commercial),0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Tractor (Commercial),0
15,TWO WHEELER(NT),Goa(13),2025,Tractor (Commercial),0
16,TWO WHEELER(T),Goa(13),2025,Tractor (Commercial),0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Mobile Clinic,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Mobile Clinic,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Mobile Clinic,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Mobile Clinic,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Mobile Clinic,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Mobile Clinic,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Mobile Clinic,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Mobile Clinic,1
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Mobile Clinic,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Mobile Clinic,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Mobile Clinic,0
12,THREE WHEELER(NT),Goa(13),2025,Mobile Clinic,0
13,THREE WHEELER(T),Goa(13),2025,Mobile Clinic,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Mobile Clinic,0
15,TWO WHEELER(NT),Goa(13),2025,Mobile Clinic,0
16,TWO WHEELER(T),Goa(13),2025,Mobile Clinic,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,X-Ray Van,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,X-Ray Van,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,X-Ray Van,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,X-Ray Van,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,X-Ray Van,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,X-Ray Van,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,X-Ray Van,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,X-Ray Van,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,X-Ray Van,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,X-Ray Van,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,X-Ray Van,0
12,THREE WHEELER(NT),Goa(13),2025,X-Ray Van,0
13,THREE WHEELER(T),Goa(13),2025,X-Ray Van,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,X-Ray Van,0
15,TWO WHEELER(NT),Goa(13),2025,X-Ray Van,0
16,TWO WHEELER(T),Goa(13),2025,X-Ray Van,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Library Van,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Library Van,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Library Van,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Library Van,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Library Van,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Library Van,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Library Van,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Library Van,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Library Van,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Library Van,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Library Van,0
12,THREE WHEELER(NT),Goa(13),2025,Library Van,0
13,THREE WHEELER(T),Goa(13),2025,Library Van,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Library Van,0
15,TWO WHEELER(NT),Goa(13),2025,Library Van,0
16,TWO WHEELER(T),Goa(13),2025,Library Van,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Mobile Workshop,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Mobile Workshop,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Mobile Workshop,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Mobile Workshop,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Mobile Workshop,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Mobile Workshop,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Mobile Workshop,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Mobile Workshop,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Mobile Workshop,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Mobile Workshop,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Mobile Workshop,0
12,THREE WHEELER(NT),Goa(13),2025,Mobile Workshop,0
13,THREE WHEELER(T),Goa(13),2025,Mobile Workshop,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Mobile Workshop,0
15,TWO WHEELER(NT),Goa(13),2025,Mobile Workshop,0
16,TWO WHEELER(T),Goa(13),2025,Mobile Workshop,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Mobile Canteen,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Mobile Canteen,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Mobile Canteen,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Mobile Canteen,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Mobile Canteen,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Mobile Canteen,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Mobile Canteen,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Mobile Canteen,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Mobile Canteen,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Mobile Canteen,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Mobile Canteen,0
12,THREE WHEELER(NT),Goa(13),2025,Mobile Canteen,0
13,THREE WHEELER(T),Goa(13),2025,Mobile Canteen,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Mobile Canteen,0
15,TWO WHEELER(NT),Goa(13),2025,Mobile Canteen,0
16,TWO WHEELER(T),Goa(13),2025,Mobile Canteen,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Private Service Vehicle,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Private Service Vehicle,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Private Service Vehicle,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Private Service Vehicle,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Private Service Vehicle,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Private Service Vehicle,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Private Service Vehicle,0
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Private Service Vehicle,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Private Service Vehicle,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Private Service Vehicle,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Private Service Vehicle,0
12,THREE WHEELER(NT),Goa(13),2025,Private Service Vehicle,0
13,THREE WHEELER(T),Goa(13),2025,Private Service Vehicle,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Private Service Vehicle,0
15,TWO WHEELER(NT),Goa(13),2025,Private Service Vehicle,0
16,TWO WHEELER(T),Goa(13),2025,Private Service Vehicle,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Maxi Cab,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Maxi Cab,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Maxi Cab,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Maxi Cab,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Maxi Cab,0
6,LIGHT MOTOR VEHICLE,Goa(13),2025,Maxi Cab,0
7,LIGHT PASSENGER VEHICLE,Goa(13),2025,Maxi Cab,334
8,MEDIUM GOODS VEHICLE,Goa(13),2025,Maxi Cab,0
9,MEDIUM MOTOR VEHICLE,Goa(13),2025,Maxi Cab,0
10,MEDIUM PASSENGER VEHICLE,Goa(13),2025,Maxi Cab,0
11,OTHER THAN MENTIONED ABOVE,Goa(13),2025,Maxi Cab,0
12,THREE WHEELER(NT),Goa(13),2025,Maxi Cab,0
13,THREE WHEELER(T),Goa(13),2025,Maxi Cab,0
14,TWO WHEELER (INVALID CARRIAGE),Goa(13),2025,Maxi Cab,0
15,TWO WHEELER(NT),Goa(13),2025,Maxi Cab,0
16,TWO WHEELER(T),Goa(13),2025,Maxi Cab,0
1,FOUR WHEELER (INVALID CARRIAGE),Goa(13),2025,Motor Cab,0
2,HEAVY GOODS VEHICLE,Goa(13),2025,Motor Cab,0
3,HEAVY MOTOR VEHICLE,Goa(13),2025,Motor Cab,0
4,HEAVY PASSENGER VEHICLE,Goa(13),2025,Motor Cab,0
5,LIGHT GOODS VEHICLE,Goa(13),2025,Motor Cab,0
