S No,Fuel,State,Year,Vehicle Class,Value
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Motor Car,"3,30,898"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Motor Car,"11,520"
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Motor Car,4
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Motor Car,210
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Motor Car,6
21,PURE EV,All Vahan4 Running States (35/36),2026,Motor Car,"27,903"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Motor Car,"17,536"
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Fork Lift,0
2,DIESEL,All Vahan4 Running States (35/36),2026,Fork Lift,134
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Fork Lift,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Fork Lift,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,Fork Lift,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Fork Lift,0
7,LNG,All Vahan4 Running States (35/36),2026,Fork Lift,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Fork Lift,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Fork Lift,0
10,PETROL,All Vahan4 Running States (35/36),2026,Fork Lift,1
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Fork Lift,1
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Fork Lift,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Fork Lift,2
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Fork Lift,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Fork Lift,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Fork Lift,9
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Fork Lift,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Fork Lift,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Fork Lift,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Fork Lift,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Fork Lift,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Fork Lift,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
2,DIESEL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,68
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
7,LNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
10,PETROL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
2,DIESEL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,17
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
7,LNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
10,PETROL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
2,DIESEL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,22
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
7,LNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
10,PETROL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,1
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
