S No,Fuel,State,Year,Vehicle Category,Value
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
21,PURE EV,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,CEV STAGE IV,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,CEV STAGE V,7
2,DIESEL,All Vahan4 Running States (35/36),2026,CEV STAGE V,"11,810"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,CEV STAGE V,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,CEV STAGE V,0
7,LNG,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
10,PETROL,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
21,PURE EV,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,CEV STAGE V,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,EURO 1,0
2,DIESEL,All Vahan4 Running States (35/36),2026,EURO 1,4
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,EURO 1,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,EURO 1,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,EURO 1,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,EURO 1,0
7,LNG,All Vahan4 Running States (35/36),2026,EURO 1,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,EURO 1,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,EURO 1,0
10,PETROL,All Vahan4 Running States (35/36),2026,EURO 1,9
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,EURO 1,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,EURO 1,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,EURO 1,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,EURO 1,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,EURO 1,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,EURO 1,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,EURO 1,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,EURO 1,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,EURO 1,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,EURO 1,0
21,PURE EV,All Vahan4 Running States (35/36),2026,EURO 1,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,EURO 1,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,EURO 2,0
2,DIESEL,All Vahan4 Running States (35/36),2026,EURO 2,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,EURO 2,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,EURO 2,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,EURO 2,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,EURO 2,0
7,LNG,All Vahan4 Running States (35/36),2026,EURO 2,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,EURO 2,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,EURO 2,0
10,PETROL,All Vahan4 Running States (35/36),2026,EURO 2,3
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,EURO 2,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,EURO 2,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,EURO 2,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,EURO 2,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,EURO 2,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,EURO 2,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,EURO 2,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,EURO 2,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,EURO 2,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,EURO 2,0
21,PURE EV,All Vahan4 Running States (35/36),2026,EURO 2,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,EURO 2,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,EURO 3,0
2,DIESEL,All Vahan4 Running States (35/36),2026,EURO 3,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,EURO 3,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,EURO 3,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,EURO 3,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,EURO 3,0
7,LNG,All Vahan4 Running States (35/36),2026,EURO 3,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,EURO 3,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,EURO 3,0
10,PETROL,All Vahan4 Running States (35/36),2026,EURO 3,11
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,EURO 3,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,EURO 3,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,EURO 3,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,EURO 3,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,EURO 3,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,EURO 3,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,EURO 3,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,EURO 3,0
