S No,Vehicle Class,State,Year,Fuel,Value
63,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
64,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
65,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
66,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
67,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
68,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
69,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
70,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
71,VINTAGE MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
72,X-RAY VAN,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
3,AMBULANCE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
9,BULLDOZER,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
10,BUS,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
11,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
12,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
