S No,Vehicle Category,State,Year,Fuel,Value
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL/HYBRID,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL/HYBRID,0
12,THREE WHEELER(T),Assam(33),2026,PETROL/HYBRID,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL/HYBRID,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL/HYBRID/CNG,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL/HYBRID/CNG,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL/HYBRID/CNG,0
12,THREE WHEELER(T),Assam(33),2026,PETROL/HYBRID/CNG,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL/HYBRID/CNG,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL/LPG,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL/LPG,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL/LPG,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL/LPG,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL/LPG,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL/LPG,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL/LPG,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL/LPG,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL/LPG,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL/LPG,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL/LPG,0
12,THREE WHEELER(T),Assam(33),2026,PETROL/LPG,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL/LPG,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL/METHANOL,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL/METHANOL,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL/METHANOL,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL/METHANOL,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL/METHANOL,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL/METHANOL,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL/METHANOL,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL/METHANOL,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL/METHANOL,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL/METHANOL,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL/METHANOL,0
12,THREE WHEELER(T),Assam(33),2026,PETROL/METHANOL,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL/METHANOL,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PLUG-IN HYBRID EV,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PLUG-IN HYBRID EV,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PLUG-IN HYBRID EV,0
12,THREE WHEELER(T),Assam(33),2026,PLUG-IN HYBRID EV,0
13,TWO WHEELER(NT),Assam(33),2026,PLUG-IN HYBRID EV,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PURE EV,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PURE EV,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PURE EV,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PURE EV,40
5,LIGHT GOODS VEHICLE,Assam(33),2026,PURE EV,9
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PURE EV,65
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PURE EV,1
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PURE EV,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PURE EV,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PURE EV,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PURE EV,0
12,THREE WHEELER(T),Assam(33),2026,PURE EV,"7,095"
13,TWO WHEELER(NT),Assam(33),2026,PURE EV,405
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,SOLAR,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,SOLAR,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,SOLAR,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,SOLAR,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,SOLAR,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,SOLAR,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,SOLAR,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,SOLAR,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,SOLAR,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,SOLAR,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,SOLAR,0
12,THREE WHEELER(T),Assam(33),2026,SOLAR,0
13,TWO WHEELER(NT),Assam(33),2026,SOLAR,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,STRONG HYBRID EV,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,STRONG HYBRID EV,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,STRONG HYBRID EV,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,STRONG HYBRID EV,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,STRONG HYBRID EV,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,STRONG HYBRID EV,75
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,STRONG HYBRID EV,1
8,MEDIUM GOODS VEHICLE,Assam(33),2026,STRONG HYBRID EV,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,STRONG HYBRID EV,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,STRONG HYBRID EV,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,STRONG HYBRID EV,0
12,THREE WHEELER(T),Assam(33),2026,STRONG HYBRID EV,0
13,TWO WHEELER(NT),Assam(33),2026,STRONG HYBRID EV,0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,BIO-CNG/BIO-GAS,0
2,HEAVY GOODS VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
