state_code,state_name,vehicle_group,maker,year,month,count
-1,All India,TWO WHEELER,CAP ELECTRIC WORKS LLP,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,CAPTAIN TRACTORS PVT. LTD.,2025,Vehicle Category Group,341
-1,All India,TWO WHEELER,CARREE YUNUS VEHICLE PVT LTD,2025,Vehicle Category Group,16
-1,All India,TWO WHEELER,CART INDIA,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,2025,Vehicle Category Group,149
-1,All India,TWO WHEELER,CATERPILLAR INDIA PRIVATE LIMITED,2025,Vehicle Category Group,115
-1,All India,TWO WHEELER,CEEON INDIA,2025,Vehicle Category Group,15
-1,All India,TWO WHEELER,CELLETRON MOTOR WORKS,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,CG & BROTHER CO,2025,Vehicle Category Group,17
-1,All India,TWO WHEELER,CHAMPION POLY PLAST,2025,Vehicle Category Group,384
-1,All India,TWO WHEELER,CHAMUNDA AGRICULTURE AND WELDING WORKS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,CHAMUNDA MECHANICLE WORKS,2025,Vehicle Category Group,7
-1,All India,TWO WHEELER,CHANDAKE-AUTOMOBILES LLP,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,CHANDANA CORPORATION,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,CHANNY AGRO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,CHARWICK ENGINEERING WORKS AP004V00001,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,CHAUHAN AUTO INDUSTRIES,2025,Vehicle Category Group,28
-1,All India,TWO WHEELER,CHEHAK BATTERIES,2025,Vehicle Category Group,22
-1,All India,TWO WHEELER,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,CHITRA MANUFACTURERS LLP,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,CLAAS INDIA P LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,CLASSIC LEGENDS PVT LTD,2025,Vehicle Category Group,4997
-1,All India,TWO WHEELER,C M OVERSEAS,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,CNH INDUSTRIAL (INDIA) PVT LTD,2025,Vehicle Category Group,5399
-1,All India,TWO WHEELER,COMETTO TRAILER,2025,Vehicle Category Group,8
-1,All India,TWO WHEELER,CONMAT HEAVY INDUSTRIES PVT LTD,2025,Vehicle Category Group,22
-1,All India,TWO WHEELER,CONTINENTAL ENGINES PVT LTD,2025,Vehicle Category Group,10
-1,All India,TWO WHEELER,COOPER CORPORATION PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,COVAI GREEN RIDE,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,CRANE KRAFT INDIA PRIVATE LIMITED,2025,Vehicle Category Group,17
-1,All India,TWO WHEELER,CREATIVE ENGINEERINGS,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,CUBE AUTO INDUSTRIES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2025,Vehicle Category Group,2459
-1,All India,TWO WHEELER,DAKSH INDUSTRY PVT LTD,2025,Vehicle Category Group,526
-1,All India,TWO WHEELER,DASHMESH TRADERS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DASMESH AGRICULTURE WORKS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DASMESH AGRO INDUSTRIES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DASMESH MECHANICAL WORKS PVT.LTD,2025,Vehicle Category Group,96
-1,All India,TWO WHEELER,DAVE EXIM PVT LTD,2025,Vehicle Category Group,161
-1,All India,TWO WHEELER,DEBU AUTOMOBILES,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DEEP DRAWN TECHNOLOGIES,2025,Vehicle Category Group,7
-1,All India,TWO WHEELER,DEEP ELECTRIC VEHICLES,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DE EUSI MOTORS PVT LTD.,2025,Vehicle Category Group,366
-1,All India,TWO WHEELER,DELTA AUTOCORP LTD,2025,Vehicle Category Group,70
-1,All India,TWO WHEELER,DEMAG AC 300,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,DEMAG DEMAG HC 340,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DEV AGRO INDUSTRIES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DEVAM ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,13
-1,All India,TWO WHEELER,DEVCHHAYA MOTORS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,DEVI ENGG WORKS AP235530181,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,DEV MOTORS,2025,Vehicle Category Group,250
-1,All India,TWO WHEELER,DEWAN AGRICULTURE WORKS,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,DHANALAKSHMI ENGINEERING WORKS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DHANALAXMI ENGINEERING PURI CHARINALA,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,DHAR IN PVT LTD,2025,Vehicle Category Group,176
-1,All India,TWO WHEELER,DHARMPAL ENTERPRISES,2025,Vehicle Category Group,20
-1,All India,TWO WHEELER,DHARTI AGRICULTURE WORKS,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,DHARTI AGROTECH,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DHIMAN AGRICULTURE,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DHIMAN AGRICULTURE WORKS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DHRITI ENTERPRISES,2025,Vehicle Category Group,17
-1,All India,TWO WHEELER,"DIAMOND ENGG,CTC",2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,DIAMOND ENGINEERING CUTTACK BHANPUR,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,DIAMOND E VEHICLES,2025,Vehicle Category Group,89
-1,All India,TWO WHEELER,DILLI ELECTRIC AUTO PVT LTD,2025,Vehicle Category Group,1918
-1,All India,TWO WHEELER,DIVANSU AUTOMOBILES LTD,2025,Vehicle Category Group,7
-1,All India,TWO WHEELER,DIVYA AGRICULTURE WORKS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,DIVYA ENTERPRISES,2025,Vehicle Category Group,89
-1,All India,TWO WHEELER,DIVYA VARALAKSHMI INDUSTRY,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,DOOARS HINDUSTAN PVT LTD,2025,Vehicle Category Group,26
-1,All India,TWO WHEELER,DOOSAN BOBCAT INDIA PVT LTD,2025,Vehicle Category Group,63
-1,All India,TWO WHEELER,D S INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,DSR EV MOBILITY PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DUCATI INDIA PVT LTD,2025,Vehicle Category Group,46
-1,All India,TWO WHEELER,DUCATI MOTOR HOLDING S.P.A,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,DUKE AUTO INDIA,2025,Vehicle Category Group,44
-1,All India,TWO WHEELER,DULEVO INDIA PVT LTD,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,DURGA AGRO ENGINEERING BALASORE BANAPARIA,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DURGA ENGINEERING BHADRAK CHARAMPA,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,DURGA MECHANIC WORKS,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,D&V AUTO INDUSTRIES PVT LTD,2025,Vehicle Category Group,7
-1,All India,TWO WHEELER,DWARI ENGINEERS SAMBALPUR JAIL CHOWK,2025,Vehicle Category Group,0
