S No,Fuel,State,Year,Norms,Value
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,B(T)S III,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,B(T)S III,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,B(T)S III,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,B(T)S III,0
9,LNG,All Vahan4 Running States (35/36),2025,B(T)S III,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,B(T)S III,0
11,METHANOL,All Vahan4 Running States (35/36),2025,B(T)S III,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
13,PETROL,All Vahan4 Running States (35/36),2025,B(T)S III,49
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,B(T)S III,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,B(T)S III,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,B(T)S III,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,B(T)S III,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,B(T)S III,0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,B(T)S III,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,B(T)S III,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,B(T)S III,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,B(T)S III,0
25,PURE EV,All Vahan4 Running States (35/36),2025,B(T)S III,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,B(T)S III,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,B(T)S III A,0
2,DIESEL,All Vahan4 Running States (35/36),2025,B(T)S III A,"9,59,971"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III A,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,B(T)S III A,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,B(T)S III A,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,B(T)S III A,0
9,LNG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,B(T)S III A,0
11,METHANOL,All Vahan4 Running States (35/36),2025,B(T)S III A,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,B(T)S III A,6
13,PETROL,All Vahan4 Running States (35/36),2025,B(T)S III A,0
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
