state_code,state_name,vehicle_group,vehicle_class,year,count
-1,All India,SPECIAL CATEGORY,ADAPTED VEHICLE,4WIC,465
-1,All India,SPECIAL CATEGORY,ADAPTED VEHICLE,LMV,0
-1,All India,SPECIAL CATEGORY,ADAPTED VEHICLE,MMV,0
-1,All India,SPECIAL CATEGORY,ADAPTED VEHICLE,HMV,0
-1,All India,SPECIAL CATEGORY,ADAPTED VEHICLE,TOTAL,465
-1,All India,SPECIAL CATEGORY,MOTOR CAR,4WIC,0
-1,All India,SPECIAL CATEGORY,MOTOR CAR,LMV,728152
-1,All India,SPECIAL CATEGORY,MOTOR CAR,MMV,0
-1,All India,SPECIAL CATEGORY,MOTOR CAR,HMV,0
-1,All India,SPECIAL CATEGORY,MOTOR CAR,TOTAL,728152
-1,All India,SPECIAL CATEGORY,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,SPECIAL CATEGORY,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,SPECIAL CATEGORY,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,SPECIAL CATEGORY,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,SPECIAL CATEGORY,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,SPECIAL CATEGORY,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,SPECIAL CATEGORY,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,SPECIAL CATEGORY,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,SPECIAL CATEGORY,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,SPECIAL CATEGORY,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,SPECIAL CATEGORY,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,SPECIAL CATEGORY,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,SPECIAL CATEGORY,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,SPECIAL CATEGORY,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,SPECIAL CATEGORY,QUADRICYCLE (PRIVATE),TOTAL,2
-1,All India,TRAILER,ADAPTED VEHICLE,4WIC,465
-1,All India,TRAILER,ADAPTED VEHICLE,LMV,0
-1,All India,TRAILER,ADAPTED VEHICLE,MMV,0
-1,All India,TRAILER,ADAPTED VEHICLE,HMV,0
-1,All India,TRAILER,ADAPTED VEHICLE,TOTAL,465
-1,All India,TRAILER,MOTOR CAR,4WIC,0
-1,All India,TRAILER,MOTOR CAR,LMV,728152
-1,All India,TRAILER,MOTOR CAR,MMV,0
-1,All India,TRAILER,MOTOR CAR,HMV,0
-1,All India,TRAILER,MOTOR CAR,TOTAL,728152
-1,All India,TRAILER,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,TRAILER,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,TRAILER,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,TRAILER,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,TRAILER,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,TRAILER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,TRAILER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,TRAILER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,TRAILER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,TRAILER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,TRAILER,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,TRAILER,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,TRAILER,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,TRAILER,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,TRAILER,QUADRICYCLE (PRIVATE),TOTAL,2
-1,All India,TRACTOR,ADAPTED VEHICLE,4WIC,465
-1,All India,TRACTOR,ADAPTED VEHICLE,LMV,0
-1,All India,TRACTOR,ADAPTED VEHICLE,MMV,0
-1,All India,TRACTOR,ADAPTED VEHICLE,HMV,0
-1,All India,TRACTOR,ADAPTED VEHICLE,TOTAL,465
-1,All India,TRACTOR,MOTOR CAR,4WIC,0
-1,All India,TRACTOR,MOTOR CAR,LMV,728152
-1,All India,TRACTOR,MOTOR CAR,MMV,0
-1,All India,TRACTOR,MOTOR CAR,HMV,0
-1,All India,TRACTOR,MOTOR CAR,TOTAL,728152
-1,All India,TRACTOR,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,TRACTOR,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,TRACTOR,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,TRACTOR,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,TRACTOR,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,TRACTOR,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,TRACTOR,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,TRACTOR,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,TRACTOR,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,TRACTOR,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,TRACTOR,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,TRACTOR,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,TRACTOR,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,TRACTOR,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,TRACTOR,QUADRICYCLE (PRIVATE),TOTAL,2
