S No,Vehicle Class,State,Year,Month,Value
25,MOTORISED CYCLE (CC > 25CC),Andhra Pradesh(84),2026,JAN,"1,820"
26,OMNI BUS,Andhra Pradesh(84),2026,JAN,6
27,OMNI BUS (PRIVATE USE),Andhra Pradesh(84),2026,JAN,30
28,PRIVATE SERVICE VEHICLE,Andhra Pradesh(84),2026,JAN,5
29,ROAD ROLLER,Andhra Pradesh(84),2026,JAN,5
30,THREE WHEELER (GOODS),Andhra Pradesh(84),2026,JAN,665
31,THREE WHEELER (PASSENGER),Andhra Pradesh(84),2026,JAN,"2,743"
32,TRACTOR (COMMERCIAL),Andhra Pradesh(84),2026,JAN,416
33,TRAILER (AGRICULTURAL),Andhra Pradesh(84),2026,JAN,208
34,TRAILER (COMMERCIAL),Andhra Pradesh(84),2026,JAN,300
35,VEHICLE FITTED WITH RIG,Andhra Pradesh(84),2026,JAN,1
1,ADAPTED VEHICLE,Andhra Pradesh(84),2026,FEB,8
2,AGRICULTURAL TRACTOR,Andhra Pradesh(84),2026,FEB,"1,761"
3,AMBULANCE,Andhra Pradesh(84),2026,FEB,24
4,ARTICULATED VEHICLE,Andhra Pradesh(84),2026,FEB,40
5,BUS,Andhra Pradesh(84),2026,FEB,18
6,CONSTRUCTION EQUIPMENT VEHICLE,Andhra Pradesh(84),2026,FEB,199
7,CRANE MOUNTED VEHICLE,Andhra Pradesh(84),2026,FEB,9
8,EDUCATIONAL INSTITUTION BUS,Andhra Pradesh(84),2026,FEB,18
9,E-RICKSHAW(P),Andhra Pradesh(84),2026,FEB,1
10,E-RICKSHAW WITH CART (G),Andhra Pradesh(84),2026,FEB,67
11,FIRE TENDERS,Andhra Pradesh(84),2026,FEB,0
12,FORK LIFT,Andhra Pradesh(84),2026,FEB,2
13,GOODS CARRIER,Andhra Pradesh(84),2026,FEB,"2,646"
14,HARVESTER,Andhra Pradesh(84),2026,FEB,61
15,LIBRARY VAN,Andhra Pradesh(84),2026,FEB,0
16,MAXI CAB,Andhra Pradesh(84),2026,FEB,51
17,M-CYCLE/SCOOTER,Andhra Pradesh(84),2026,FEB,"47,585"
18,M-CYCLE/SCOOTER-WITH SIDE CAR,Andhra Pradesh(84),2026,FEB,3
19,MOBILE CANTEEN,Andhra Pradesh(84),2026,FEB,0
20,MOBILE CLINIC,Andhra Pradesh(84),2026,FEB,1
21,MOPED,Andhra Pradesh(84),2026,FEB,686
22,MOTOR CAB,Andhra Pradesh(84),2026,FEB,315
23,MOTOR CAR,Andhra Pradesh(84),2026,FEB,"5,432"
24,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andhra Pradesh(84),2026,FEB,14
25,MOTORISED CYCLE (CC > 25CC),Andhra Pradesh(84),2026,FEB,"1,830"
26,OMNI BUS,Andhra Pradesh(84),2026,FEB,71
27,OMNI BUS (PRIVATE USE),Andhra Pradesh(84),2026,FEB,28
28,PRIVATE SERVICE VEHICLE,Andhra Pradesh(84),2026,FEB,2
29,ROAD ROLLER,Andhra Pradesh(84),2026,FEB,4
30,THREE WHEELER (GOODS),Andhra Pradesh(84),2026,FEB,688
31,THREE WHEELER (PASSENGER),Andhra Pradesh(84),2026,FEB,"3,102"
32,TRACTOR (COMMERCIAL),Andhra Pradesh(84),2026,FEB,450
33,TRAILER (AGRICULTURAL),Andhra Pradesh(84),2026,FEB,205
34,TRAILER (COMMERCIAL),Andhra Pradesh(84),2026,FEB,391
35,VEHICLE FITTED WITH RIG,Andhra Pradesh(84),2026,FEB,0
1,AGRICULTURAL TRACTOR,Arunachal Pradesh(29),2026,JAN,1
2,AMBULANCE,Arunachal Pradesh(29),2026,JAN,2
3,BUS,Arunachal Pradesh(29),2026,JAN,28
4,CAMPER VAN / TRAILER (PRIVATE USE),Arunachal Pradesh(29),2026,JAN,4
5,CONSTRUCTION EQUIPMENT VEHICLE,Arunachal Pradesh(29),2026,JAN,3
6,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Arunachal Pradesh(29),2026,JAN,38
7,CRANE MOUNTED VEHICLE,Arunachal Pradesh(29),2026,JAN,0
8,DUMPER,Arunachal Pradesh(29),2026,JAN,96
9,EXCAVATOR (COMMERCIAL),Arunachal Pradesh(29),2026,JAN,4
10,EXCAVATOR (NT),Arunachal Pradesh(29),2026,JAN,7
11,GOODS CARRIER,Arunachal Pradesh(29),2026,JAN,164
12,M-CYCLE/SCOOTER,Arunachal Pradesh(29),2026,JAN,"1,392"
13,MOTOR CAB,Arunachal Pradesh(29),2026,JAN,1
14,MOTOR CAR,Arunachal Pradesh(29),2026,JAN,"1,667"
15,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Arunachal Pradesh(29),2026,JAN,3
16,THREE WHEELER (GOODS),Arunachal Pradesh(29),2026,JAN,0
17,THREE WHEELER (PASSENGER),Arunachal Pradesh(29),2026,JAN,10
18,TRACTOR (COMMERCIAL),Arunachal Pradesh(29),2026,JAN,47
19,TRACTOR-TROLLEY(COMMERCIAL),Arunachal Pradesh(29),2026,JAN,8
20,TRAILER (COMMERCIAL),Arunachal Pradesh(29),2026,JAN,2
1,AGRICULTURAL TRACTOR,Arunachal Pradesh(29),2026,FEB,1
2,AMBULANCE,Arunachal Pradesh(29),2026,FEB,3
3,BUS,Arunachal Pradesh(29),2026,FEB,139
4,CAMPER VAN / TRAILER (PRIVATE USE),Arunachal Pradesh(29),2026,FEB,0
5,CONSTRUCTION EQUIPMENT VEHICLE,Arunachal Pradesh(29),2026,FEB,4
6,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Arunachal Pradesh(29),2026,FEB,26
7,CRANE MOUNTED VEHICLE,Arunachal Pradesh(29),2026,FEB,1
8,DUMPER,Arunachal Pradesh(29),2026,FEB,87
9,EXCAVATOR (COMMERCIAL),Arunachal Pradesh(29),2026,FEB,6
10,EXCAVATOR (NT),Arunachal Pradesh(29),2026,FEB,1
11,GOODS CARRIER,Arunachal Pradesh(29),2026,FEB,125
12,M-CYCLE/SCOOTER,Arunachal Pradesh(29),2026,FEB,931
13,MOTOR CAB,Arunachal Pradesh(29),2026,FEB,1
14,MOTOR CAR,Arunachal Pradesh(29),2026,FEB,"1,119"
15,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Arunachal Pradesh(29),2026,FEB,3
16,THREE WHEELER (GOODS),Arunachal Pradesh(29),2026,FEB,1
17,THREE WHEELER (PASSENGER),Arunachal Pradesh(29),2026,FEB,6
18,TRACTOR (COMMERCIAL),Arunachal Pradesh(29),2026,FEB,38
19,TRACTOR-TROLLEY(COMMERCIAL),Arunachal Pradesh(29),2026,FEB,9
20,TRAILER (COMMERCIAL),Arunachal Pradesh(29),2026,FEB,0
1,ADAPTED VEHICLE,Assam(33),2026,JAN,0
2,AGRICULTURAL TRACTOR,Assam(33),2026,JAN,18
3,AMBULANCE,Assam(33),2026,JAN,12
4,ARMOURED/SPECIALISED VEHICLE,Assam(33),2026,JAN,9
5,ARTICULATED VEHICLE,Assam(33),2026,JAN,2
6,BUS,Assam(33),2026,JAN,153
7,CAMPER VAN / TRAILER,Assam(33),2026,JAN,1
8,CAMPER VAN / TRAILER (PRIVATE USE),Assam(33),2026,JAN,0
9,CASH VAN,Assam(33),2026,JAN,5
10,CONSTRUCTION EQUIPMENT VEHICLE,Assam(33),2026,JAN,87
11,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Assam(33),2026,JAN,0
12,CRANE MOUNTED VEHICLE,Assam(33),2026,JAN,3
13,DUMPER,Assam(33),2026,JAN,128
14,E-RICKSHAW(P),Assam(33),2026,JAN,"3,127"
15,E-RICKSHAW WITH CART (G),Assam(33),2026,JAN,366
16,EXCAVATOR (NT),Assam(33),2026,JAN,18
17,FORK LIFT,Assam(33),2026,JAN,0
18,GOODS CARRIER,Assam(33),2026,JAN,"1,333"
19,MAXI CAB,Assam(33),2026,JAN,57
20,M-CYCLE/SCOOTER,Assam(33),2026,JAN,"37,778"
21,M-CYCLE/SCOOTER-WITH SIDE CAR,Assam(33),2026,JAN,2
22,MOPED,Assam(33),2026,JAN,232
23,MOTOR CAB,Assam(33),2026,JAN,76
24,MOTOR CAR,Assam(33),2026,JAN,"6,434"
25,OMNI BUS,Assam(33),2026,JAN,1
26,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Assam(33),2026,JAN,27
27,THREE WHEELER (GOODS),Assam(33),2026,JAN,85
28,THREE WHEELER (PASSENGER),Assam(33),2026,JAN,"3,551"
29,TRACTOR (COMMERCIAL),Assam(33),2026,JAN,649
30,TRAILER (AGRICULTURAL),Assam(33),2026,JAN,4
31,TRAILER (COMMERCIAL),Assam(33),2026,JAN,24
32,VEHICLE FITTED WITH RIG,Assam(33),2026,JAN,1
1,ADAPTED VEHICLE,Assam(33),2026,FEB,1
2,AGRICULTURAL TRACTOR,Assam(33),2026,FEB,23
3,AMBULANCE,Assam(33),2026,FEB,28
4,ARMOURED/SPECIALISED VEHICLE,Assam(33),2026,FEB,7
5,ARTICULATED VEHICLE,Assam(33),2026,FEB,0
6,BUS,Assam(33),2026,FEB,144
7,CAMPER VAN / TRAILER,Assam(33),2026,FEB,0
8,CAMPER VAN / TRAILER (PRIVATE USE),Assam(33),2026,FEB,2
9,CASH VAN,Assam(33),2026,FEB,0
10,CONSTRUCTION EQUIPMENT VEHICLE,Assam(33),2026,FEB,55
11,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Assam(33),2026,FEB,1
12,CRANE MOUNTED VEHICLE,Assam(33),2026,FEB,3
13,DUMPER,Assam(33),2026,FEB,69
14,E-RICKSHAW(P),Assam(33),2026,FEB,"2,571"
15,E-RICKSHAW WITH CART (G),Assam(33),2026,FEB,232
16,EXCAVATOR (NT),Assam(33),2026,FEB,7
17,FORK LIFT,Assam(33),2026,FEB,1
18,GOODS CARRIER,Assam(33),2026,FEB,970
19,MAXI CAB,Assam(33),2026,FEB,38
20,M-CYCLE/SCOOTER,Assam(33),2026,FEB,"24,165"
21,M-CYCLE/SCOOTER-WITH SIDE CAR,Assam(33),2026,FEB,0
22,MOPED,Assam(33),2026,FEB,173
23,MOTOR CAB,Assam(33),2026,FEB,39
24,MOTOR CAR,Assam(33),2026,FEB,"4,125"
25,OMNI BUS,Assam(33),2026,FEB,4
26,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Assam(33),2026,FEB,14
27,THREE WHEELER (GOODS),Assam(33),2026,FEB,83
28,THREE WHEELER (PASSENGER),Assam(33),2026,FEB,"2,830"
29,TRACTOR (COMMERCIAL),Assam(33),2026,FEB,453
30,TRAILER (AGRICULTURAL),Assam(33),2026,FEB,1
31,TRAILER (COMMERCIAL),Assam(33),2026,FEB,19
32,VEHICLE FITTED WITH RIG,Assam(33),2026,FEB,0
1,ADAPTED VEHICLE,Bihar(48),2026,JAN,1
2,AGRICULTURAL TRACTOR,Bihar(48),2026,JAN,"2,176"
3,AMBULANCE,Bihar(48),2026,JAN,17
4,ARTICULATED VEHICLE,Bihar(48),2026,JAN,36
5,BUS,Bihar(48),2026,JAN,248
6,CONSTRUCTION EQUIPMENT VEHICLE,Bihar(48),2026,JAN,151
7,DUMPER,Bihar(48),2026,JAN,4
8,E-RICKSHAW(P),Bihar(48),2026,JAN,"5,338"
9,E-RICKSHAW WITH CART (G),Bihar(48),2026,JAN,265
10,EXCAVATOR (NT),Bihar(48),2026,JAN,0
11,GOODS CARRIER,Bihar(48),2026,JAN,"2,899"
12,HARVESTER,Bihar(48),2026,JAN,49
13,MAXI CAB,Bihar(48),2026,JAN,114
14,M-CYCLE/SCOOTER,Bihar(48),2026,JAN,"87,815"
15,M-CYCLE/SCOOTER-WITH SIDE CAR,Bihar(48),2026,JAN,204
16,MOPED,Bihar(48),2026,JAN,"1,352"
17,MOTOR CAB,Bihar(48),2026,JAN,582
18,MOTOR CAR,Bihar(48),2026,JAN,"10,339"
19,MOTOR CYCLE/SCOOTER-SIDECAR(T),Bihar(48),2026,JAN,0
20,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Bihar(48),2026,JAN,0
21,MOTORISED CYCLE (CC > 25CC),Bihar(48),2026,JAN,31
22,OMNI BUS,Bihar(48),2026,JAN,22
23,OMNI BUS (PRIVATE USE),Bihar(48),2026,JAN,1
24,THREE WHEELER (GOODS),Bihar(48),2026,JAN,658
25,THREE WHEELER (PASSENGER),Bihar(48),2026,JAN,"4,524"
26,TRACTOR (COMMERCIAL),Bihar(48),2026,JAN,"1,385"
27,TRAILER (AGRICULTURAL),Bihar(48),2026,JAN,4
28,TRAILER (COMMERCIAL),Bihar(48),2026,JAN,771
1,ADAPTED VEHICLE,Bihar(48),2026,FEB,1
